Tour Name,Type,Rating,Number of reviews,Price,Duration
1. 1 Day Private Mt Fuji Tour (Charter) - English Speaking Driver,Cable Car Tours,5.0 of 5 bubbles,159,$473.38,6+ hours
2. Mt Fuji and Hakone 1-Day Bus Tour return by Bullet Train (Shinkansen),Audio Guides,5.0 of 5 bubbles,"1,292",$141.09,6+ hours
3. Tokyo Full-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,571,$152.04,6 hours
"4. Mt Fuji, Hakone Lake Ashi Cruise Bullet Train Day Trip from Tokyo",Bus Tours,4.0 of 5 bubbles,652,$133.94,6+ hours
5. Private Full Day Sightseeing Tour to Mount Fuji and Hakone guide,Bus Tours,5.0 of 5 bubbles,286,$647.98,6+ hours
6. Kart experience in Shinjuku drive metropolitan area **IDP must**,4WD Tours,4.5 of 5 bubbles,125,$137.56,1–2 hours
7. 1-Day Tokyo Bus Tour,Audio Guides,5.0 of 5 bubbles,"1,669",$111.39,9–10 hours
8. DAIKOKU PA Tokyo Drift CAR MEET,Luxury Car Tours,5.0 of 5 bubbles,13,$144.80,5–6 hours
9. Tokyo Bar Hopping Night Tour in Shinjuku,Spring Break,5.0 of 5 bubbles,541,$112.22,3 hours
"10. Eat and Drink Like a LOCAL : Restaurant, Tavern & Ramen Tour",Food & Drink,5.0 of 5 bubbles,412,$119.46,3 hours
11. Sushi Making Experience in Tokyo! Directly From a Sushi Chef!,Dinner,5.0 of 5 bubbles,80,$86.88,2 hours
12. Tokyo Private Chauffeur Driving Sightseeing Tour - English Speaking Driver,Bus Tours,5.0 of 5 bubbles,88,$557.48,7–9 hours
13. Private One Day Mt. Fuji - Lake Kawaguchiko Tour with Bilingual driver,Bus Tours,5.0 of 5 bubbles,10,$498.47,6+ hours
14. Tokyo Private Tour by Car / Van - Guide Option Available,Bus Tours,4.5 of 5 bubbles,68,$350.86,6+ hours
15. Ramen and Gyoza Cooking Class and Tokyo Local Supermarket,Food & Drink,5.0 of 5 bubbles,255,$94.25,2–3 hours
16. Tokyo Night Foodie Tour in Shinjuku,Food & Drink,5.0 of 5 bubbles,68,$126.70,3 hours
17. Tsukiji Fish Market Food and Culture Walking Tour,Food & Drink,5.0 of 5 bubbles,448,$100.00,3 hours
18. Mt Fuji and Hakone 1-Day Bus Tour by Bus,Audio Guides,4.5 of 5 bubbles,601,$118.81,6+ hours
19. Tokyo Private Custom Walking Tour with Local Friendly Guide,City Tours,5.0 of 5 bubbles,215,$300.00,4–8 hours
20. Private Tokyo Tour with a Local Guide: Tailored to Your Interests,Historical Tours,5.0 of 5 bubbles,200,$85.02,3–8 hours
21. Small-Group Tokyo Biking Tour,Day Trips,5.0 of 5 bubbles,761,$101.36,6–7 hours
"22. Enjoy local Tokyo E-assist Bicycle tour, 3hrs of ride start Kanda",Historical Tours,5.0 of 5 bubbles,141,$57.92,3 hours
23. Shibuya All You Can Eat Best Food Tour,Food & Drink,5.0 of 5 bubbles,47,$205.00,4 hours
24. Best of Shibuya Food Tour,Food & Drink,5.0 of 5 bubbles,264,$182.00,3 hours
25. Official Street Go-Kart in Shibuya,Audio Guides,5.0 of 5 bubbles,44,$108.60,60–90 minutes
26. Izakaya Food Tour in Shinjuku,Food & Drink,5.0 of 5 bubbles,129,$111.86,3–4 hours
27. Tokyo Half-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,193,$101.36,4 hours
28. Mt Fuji Private Tour for Your Family only by CAR English Driver,4WD Tours,5.0 of 5 bubbles,38,$651.59,6+ hours
29. Challenge Sumo Wrestlers and Enjoy Lunch,Unique Experiences,4.5 of 5 bubbles,50,$104.98,2 hours
30. Asakusa Classic Ramen & Crispy Gyoza Cooking Class,Food & Drink,5.0 of 5 bubbles,20,$95.57,3 hours
31. Itasha trip to famous car meet up spot Daikoku Parking,Adventure Tours,5.0 of 5 bubbles,46,$89.78,2–3 hours
32. Make Japanese Traditional Sweets and Tea Ceremony at Harajuku,Food & Drink,5.0 of 5 bubbles,20,$60.00,2 hours
33. Shibuya Bar Hopping Night Food Walking Tour in Tokyo,Spring Break,5.0 of 5 bubbles,303,$107.15,3 hours
34. Japanese Cuisine Experience in Tokyo (Temari-Sushi Making),Lunch,5.0 of 5 bubbles,64,$54.30,2 hours
35. Tsukiji Fish Market Visit with Sushi Making Experience,Unique Experiences,5.0 of 5 bubbles,103,$135.00,4 hours
36. Tokyo Studio Ghibli Museum and Ghibli Film Appreciation Tour,Art Tours,4.5 of 5 bubbles,45,$159.28,6+ hours
37. Tokyo Pub Crawl,Food & Drink,5.0 of 5 bubbles,391,$26.79,4–5 hours
38. Luxury Ride trip to famous car meet up spot Daikoku,Adventure Tours,5.0 of 5 bubbles,12,$43.44,2–3 hours
39. 3-Hour Small-Group Sushi Making Class in Tokyo,Unique Experiences,5.0 of 5 bubbles,61,$73.85,3 hours
40. Tokyo Countryside Tours,Bus Tours,5.0 of 5 bubbles,32,$289.60,8–9 hours
41. Tokyo Skytree Admission Ticket (Floor 350 + 450),Skyscrapers & Towers,4.0 of 5 bubbles,68,$14.20,1–2 hours
42. Private Mt. Fuji Custom Tour from Tokyo,Full-day Tours,4.0 of 5 bubbles,5,$543.00,6+ hours
43. Private arrival Transfer from Haneda Airport(HND) to central Tokyo city,Transportation Services,4.5 of 5 bubbles,7,$133.94,30–50 minutes
44. Private Full-Day Mt Fuji Hakone Tour with English driver by Car,Full-day Tours,4.5 of 5 bubbles,56,$492.31,6+ hours
"45. Mt Fuji, Hakone, Lake Ashi Cruise 1 Day Bus Trip from Tokyo",Bus Tours,3.5 of 5 bubbles,139,$108.60,6+ hours
46. Mount Fuji and Hakone Private Tour with english speaking Guide,4WD Tours,4.5 of 5 bubbles,27,$723.99,6+ hours
47. Small Group Cycling Tour in Tokyo,Adventure Tours,5.0 of 5 bubbles,30,$54.30,3–6 hours
48. Tsukiji Food Tour & Toyosu Market with Government-Licensed Guide,City Tours,4.5 of 5 bubbles,36,$101.36,4 hours
49. Full-Day Private Tour of Mt. Fuji with Pick Up,Bus Tours,5.0 of 5 bubbles,2,$745.71,8–10 hours
50. Small-Group Wagyu Beef and 7 Japanese Dishes Tokyo Cooking Class,Unique Experiences,5.0 of 5 bubbles,61,$73.85,3 hours
51. One Day Private Tour Nikko Tochigi only for Your Family by car,Full-day Tours,4.5 of 5 bubbles,10,$673.32,10–12 hours
52. 3-Hours Tokyo Local Bar & Izakaya Crawl in Shinjuku Area,Food & Drink,5.0 of 5 bubbles,33,$43.44,3 hours
53. Unique Private Cooking Class with a Tokyo Local Emi,Unique Experiences,5.0 of 5 bubbles,23,$80.00,3 hours
54. Private custom tour with a local guide Tokyo,Historical Tours,4.5 of 5 bubbles,32,$74.26,2–8 hours
55. Half Day Sightseeing Tour in Tokyo,Audio Guides,4.5 of 5 bubbles,49,$575.58,3–4 hours
56. Nikko one day trip from Tokyo private charter guide,Adventure Tours,4.5 of 5 bubbles,10,$493.40,6+ hours
57. Private Full-Day Hakone and Mt. Fuji Tour with Bilingual driver,Bus Tours,4.5 of 5 bubbles,34,$86.88,6+ hours
58. Asakusa: 1400-year history exploration,Historical Tours,5.0 of 5 bubbles,46,$137.56,3–4 hours
59. Official Street Go-Kart Tour - Tokyo Bay Shop,Go Kart,5.0 of 5 bubbles,124,$66.61,1–2 hours
60. Tsukiji Fish Market Walking Food Tour,Food & Drink,4.5 of 5 bubbles,59,$217.20,3 hours
61. Tokyo Narita Airport (NRT) Transfer - Private Transfer,Transportation Services,4.5 of 5 bubbles,8,$70.95,60–90 minutes
62. Tokyo Samurai experience,Sports Lessons,5.0 of 5 bubbles,9,$86.88,1 hour
63. Akihabara Anime & Gaming Adventure Walking Tour,Private and Luxury,5.0 of 5 bubbles,96,$181.00,3 hours
