Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
1 Day Private Mt Fuji Tour (Charter) - English Speaking Driver,Cable Car Tours,5.0,159,473.38,6.0
Mt Fuji and Hakone 1-Day Bus Tour return by Bullet Train (Shinkansen),Audio Guides,5.0,1292,141.09,6.0
Tokyo Full-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0,571,152.04,6.0
"Mt Fuji, Hakone Lake Ashi Cruise Bullet Train Day Trip from Tokyo",Bus Tours,4.0,652,133.94,6.0
Private Full Day Sightseeing Tour to Mount Fuji and Hakone guide,Bus Tours,5.0,286,647.98,6.0
Kart experience in Shinjuku drive metropolitan area **IDP must**,4WD Tours,4.5,125,137.56,1.5
1-Day Tokyo Bus Tour,Audio Guides,5.0,1669,111.39,9.5
DAIKOKU PA Tokyo Drift CAR MEET,Luxury Car Tours,5.0,13,144.8,5.5
Tokyo Bar Hopping Night Tour in Shinjuku,Spring Break,5.0,541,112.22,3.0
"Eat and Drink Like a LOCAL : Restaurant, Tavern & Ramen Tour",Food & Drink,5.0,412,119.46,3.0
Sushi Making Experience in Tokyo! Directly From a Sushi Chef!,Dinner,5.0,80,86.88,2.0
Tokyo Private Chauffeur Driving Sightseeing Tour - English Speaking Driver,Bus Tours,5.0,88,557.48,8.0
Private One Day Mt. Fuji - Lake Kawaguchiko Tour with Bilingual driver,Bus Tours,5.0,10,498.47,6.0
Tokyo Private Tour by Car / Van - Guide Option Available,Bus Tours,4.5,68,350.86,6.0
Ramen and Gyoza Cooking Class and Tokyo Local Supermarket,Food & Drink,5.0,255,94.25,2.5
Tokyo Night Foodie Tour in Shinjuku,Food & Drink,5.0,68,126.7,3.0
Tsukiji Fish Market Food and Culture Walking Tour,Food & Drink,5.0,448,100.0,3.0
Mt Fuji and Hakone 1-Day Bus Tour by Bus,Audio Guides,4.5,601,118.81,6.0
Tokyo Private Custom Walking Tour with Local Friendly Guide,City Tours,5.0,215,300.0,6.0
Private Tokyo Tour with a Local Guide: Tailored to Your Interests,Historical Tours,5.0,200,85.02,5.5
Small-Group Tokyo Biking Tour,Day Trips,5.0,761,101.36,6.5
"Enjoy local Tokyo E-assist Bicycle tour, 3hrs of ride start Kanda",Historical Tours,5.0,141,57.92,3.0
Shibuya All You Can Eat Best Food Tour,Food & Drink,5.0,47,205.0,4.0
Best of Shibuya Food Tour,Food & Drink,5.0,264,182.0,3.0
Official Street Go-Kart in Shibuya,Audio Guides,5.0,44,108.6,1.2
Izakaya Food Tour in Shinjuku,Food & Drink,5.0,129,111.86,3.5
Tokyo Half-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0,193,101.36,4.0
Mt Fuji Private Tour for Your Family only by CAR English Driver,4WD Tours,5.0,38,651.59,6.0
Challenge Sumo Wrestlers and Enjoy Lunch,Unique Experiences,4.5,50,104.98,2.0
Asakusa Classic Ramen & Crispy Gyoza Cooking Class,Food & Drink,5.0,20,95.57,3.0
Itasha trip to famous car meet up spot Daikoku Parking,Adventure Tours,5.0,46,89.78,2.5
Make Japanese Traditional Sweets and Tea Ceremony at Harajuku,Food & Drink,5.0,20,60.0,2.0
Shibuya Bar Hopping Night Food Walking Tour in Tokyo,Spring Break,5.0,303,107.15,3.0
Japanese Cuisine Experience in Tokyo (Temari-Sushi Making),Lunch,5.0,64,54.3,2.0
Tsukiji Fish Market Visit with Sushi Making Experience,Unique Experiences,5.0,103,135.0,4.0
Tokyo Studio Ghibli Museum and Ghibli Film Appreciation Tour,Art Tours,4.5,45,159.28,6.0
Tokyo Pub Crawl,Food & Drink,5.0,391,26.79,4.5
Luxury Ride trip to famous car meet up spot Daikoku,Adventure Tours,5.0,12,43.44,2.5
3-Hour Small-Group Sushi Making Class in Tokyo,Unique Experiences,5.0,61,73.85,3.0
Tokyo Countryside Tours,Bus Tours,5.0,32,289.6,8.5
Tokyo Skytree Admission Ticket (Floor 350 + 450),Skyscrapers & Towers,4.0,68,14.2,1.5
Private Mt. Fuji Custom Tour from Tokyo,Full-day Tours,4.0,5,543.0,6.0
Private arrival Transfer from Haneda Airport(HND) to central Tokyo city,Transportation Services,4.5,7,133.94,0.7
Private Full-Day Mt Fuji Hakone Tour with English driver by Car,Full-day Tours,4.5,56,492.31,6.0
"Mt Fuji, Hakone, Lake Ashi Cruise 1 Day Bus Trip from Tokyo",Bus Tours,3.5,139,108.6,6.0
Mount Fuji and Hakone Private Tour with english speaking Guide,4WD Tours,4.5,27,723.99,6.0
Small Group Cycling Tour in Tokyo,Adventure Tours,5.0,30,54.3,4.5
